Round,Loss,Total Reward
0,77.23853805661201,18.294999900157563
1,75.05201435089111,20.954999899026006
2,63.594579465687275,33.93400004960131
3,65.64577589184046,32.87899999448564
4,67.02862894535065,31.719999934430234
5,66.44386867433786,38.84500001440756
6,66.56284242868423,119.84100098116323
7,57.732591301202774,184.32700214907527
8,48.636774227023125,186.9900021905778
9,74.57202807068825,181.72600214451086
10,58.99069418758154,182.4990021897247
11,77.79667666554451,183.86700214422308
12,78.1263782903552,183.89700216264464
13,66.57249553315341,182.78600217786152
14,57.03231688588858,183.5030022119172
15,101.6695171482861,181.07300216448493
16,120.59140639938414,174.9090019686846
17,87.45276909321547,184.13600214850157
18,95.99420591257513,169.1410019021714
19,104.40610867552459,173.04500195663422
20,67.7680153567344,179.19400213472545
21,76.91386873461306,180.7910020406125
22,83.94333018921316,170.1550018908456
23,43.66918773762882,180.98100218561012
24,57.75033634528518,179.5620021012146
25,73.17228936590254,179.51300200540572
26,59.24739369004965,181.3340020579053
27,52.764173075556755,182.77000215894077
28,48.77295478247106,178.7840021152515
29,63.913039930164814,182.86300207104068
30,51.59059678018093,183.3720021462068
31,57.058914605528116,164.4410018234048
32,61.435852067545056,179.77700202644337
33,25.23690427839756,181.7200021102326
34,38.36923413537443,164.5880017913878
35,41.60081518255174,174.6950019330252
36,64.35689011402428,172.19400194170885
37,22.896086614578962,180.61400203220546
38,22.545601289719343,181.0970021316316
39,34.36506448313594,172.83900188235566
40,33.07302229851484,161.9330017757602
41,29.76987984776497,179.27200207894202
42,25.42339539155364,179.90800203266554
43,36.86984839104116,170.3070019200677
44,36.13623480498791,173.4300019579241
45,17.509485749527812,179.12400204641744
46,24.328391667455435,178.73000210418832
47,20.957078836858273,180.5440020543756
48,22.123780300840735,168.30700187955517
49,22.241034230217338,181.64200219151098
50,12.178448285907507,180.588002149947
51,42.53339601494372,176.00900196144357
52,52.6390411388129,181.93900201865472
53,49.58119121938944,166.23000185738783
54,39.71165501140058,179.98500209581107
55,44.43551795370877,179.0570021282183
56,32.570684529840946,182.55500214989297
57,45.17112803645432,171.45200195745565
58,39.9489285890013,182.1590020885924
59,44.69507038965821,180.83200205105823
60,28.672842495143414,182.10900211171247
61,40.13447062857449,182.08200211892836
62,41.479011008515954,180.02600208076183
63,28.23425441980362,179.2350021196762
64,52.9029674064368,156.54900172748603
65,53.0900554060936,169.42700191226322
66,43.07530838251114,163.9460017863894
67,23.65273579955101,180.50900206970982
68,20.911121014505625,166.65500188607257
69,14.205313075333834,176.7080019521527
70,28.200018571689725,178.17600209487136
71,10.828686404973269,180.03900204738602
72,22.696330098435283,178.22200199507643
73,13.84297257848084,172.1050019544782
74,36.69024297595024,172.75600194290746
75,19.62610263004899,178.04400212259497
76,36.61438884586096,175.03100195748266
77,37.31523442454636,174.3990019359626
78,35.839875139296055,180.206002106308
79,48.54877161607146,179.25100202695467
80,22.172047963365912,178.9010021633003
81,37.79701179545373,182.5370020555565
82,52.62943606823683,176.17800196097232
83,15.534738276153803,179.98600210435688
84,41.14940609410405,173.1110019342741
85,27.312138684093952,179.49800212366972
86,32.505739049986005,177.6850020205602
87,33.64141930826008,183.65300209156703
88,23.689159866422415,151.86800165311433
89,23.558161923661828,182.16500208037905
90,24.050069762393832,160.08500179846305
91,26.205934543162584,177.40400203270838
92,31.632931523025036,181.76600206142757
93,17.697815435007215,180.21400204719976
94,34.527895357459784,172.32100194774102
95,17.62846077978611,160.2830017823726
96,30.933140628039837,169.84800189326052
97,17.931587075814605,180.13500205194578
98,12.016843171790242,149.90000163612422
99,39.468679405748844,180.97900206653867
