Round,Loss,Total Reward
0,-10.960431976243854,15.069999891449697
1,-9.052159890532494,26.397999984095804
2,-10.129465949721634,26.29399991466198
3,-9.778259865008295,20.164999934495427
4,-12.734401357360184,22.771999891847372
5,-10.966398955322802,45.42100000043865
6,-12.675200299359858,49.05700006603729
7,-12.951142523437738,89.53100051090587
8,-6.961631364189088,87.18800061079673
9,10.03741680085659,151.0120013904525
10,20.963884389027953,171.42100169148762
11,26.010467749089003,172.84500179463066
12,24.007440865039825,184.44200196454767
13,24.1343239126727,188.75200218928512
14,24.83633739873767,186.89900223724544
15,44.03743213694543,176.93700207350776
16,63.2626914344728,186.32200219284277
17,37.98548195138574,182.8540021555964
18,28.123634214513004,183.64000222692266
19,47.60244136210531,179.93300223781262
20,49.48873267415911,183.95100223319605
21,36.46618928387761,184.0090022359509
22,68.50565121695399,180.49800220516045
23,52.93574271257967,180.7650022348389
24,62.271692575886846,180.7670021924423
25,41.12459459155798,182.14000224065967
26,71.99642808455974,179.675002191565
27,65.11663069482893,183.1690021790564
28,50.39453657809645,162.78000196046196
29,34.844409368000925,182.0400022189133
30,45.259005066007376,178.04000211739913
31,65.20715948287398,174.95600209839176
32,46.1115157129243,167.70400201238226
33,48.05516226310283,183.43600220873486
34,35.166742289438844,170.697002044064
35,41.76047838572413,175.90800213511102
36,45.67777307797223,175.43900213832967
37,40.444755400530994,165.00900199834723
38,27.665966532193124,171.90200210129842
39,49.805532190948725,171.27400209696498
40,49.764608366414905,176.21200214454439
41,57.53125063609332,175.09600213402882
42,38.202573345042765,170.30500210192986
43,46.840356851927936,183.2110022745328
44,46.1281314464286,158.50100195617415
45,48.02980394009501,178.0070022008149
46,54.25871577486396,171.07100212131627
47,53.858050195500255,178.74600220192224
48,37.62863801885396,175.75400215678383
49,49.99337124731392,176.82700220425613
50,51.73369830939919,174.30400214740075
51,32.4055460402742,181.5370022970019
52,56.520563865080476,148.06600183295086
53,61.73871741257608,180.68200222589076
54,54.5673513840884,166.6900020611938
55,41.5348512660712,177.27400221698917
56,44.62124802265316,134.8360016704537
57,27.610980945639312,183.49000230478123
58,59.76944410055876,172.14700214692857
59,31.589218022301793,184.87600230262615
60,61.080000227317214,185.05100230243988
61,41.341748951002955,184.5550023043761
62,60.936110963113606,165.9610020215623
63,53.47243789676577,177.39500221423805
64,51.66498015541583,184.0630023065023
65,57.68073411099613,184.29500229202677
66,54.320672921836376,184.4370022987714
67,26.32454870454967,182.9300023036776
68,46.60725964233279,184.11500230897218
69,67.90094679221511,151.64200189732946
70,60.572982331737876,176.52200221526437
71,53.468679051846266,164.84300204995088
72,39.8872553454712,182.16200230119284
73,39.37430243939161,182.92200231179595
74,43.90869380533695,182.84000230790116
75,72.61857813224196,179.68700223811902
76,38.52663259394467,181.94800230802502
77,50.16744839772582,182.32200230879243
78,50.67699757684022,181.75000229862053
79,84.2645963607356,177.91500221344177
80,81.68842988554388,182.07100229687057
81,26.39715530257672,182.6040023136884
82,75.37292845640332,184.27100229938515
83,57.42620303388685,179.5700022240635
84,58.90142979566008,181.83000230242033
85,46.83679126761854,162.03700200514868
86,35.53492850344628,186.5600023146253
87,65.15699382033199,187.5850023208186
88,61.03263291809708,173.34400216129143
89,34.16768963821232,178.3780022354331
90,52.93246980011463,167.62600208015647
91,40.80396236758679,158.58800194680225
92,42.061622011475265,147.73700184281915
93,45.146817775443196,168.55800209043082
94,52.56822686921805,182.55500225536525
95,44.16431739367545,173.3120021597715
96,55.77608721051365,166.27400208392646
97,42.0464564403519,179.74900224106386
98,22.65449753496796,186.47800233622547
99,40.93040333688259,124.09300154109951
