Round,Loss,Main Reward,Opponent Reward
31,"{'policy_loss': 0.09526018053293228, 'value_loss': 2.3703675270080566, 'entropy_loss': -0.030126677826046944, 'total_loss': 2.4355010986328125}",24.597999932870152,26.339999926363816
32,"{'policy_loss': -0.07937242090702057, 'value_loss': 2.4139885902404785, 'entropy_loss': -0.03013988956809044, 'total_loss': 2.304476261138916}",28.189999830137822,22.231299939354358
33,"{'policy_loss': -0.09828876703977585, 'value_loss': 2.3400802612304688, 'entropy_loss': -0.030178312212228775, 'total_loss': 2.211613178253174}",70.16669948501658,86.40609929375205
34,"{'policy_loss': -0.01793091744184494, 'value_loss': 2.6249115467071533, 'entropy_loss': -0.03006076253950596, 'total_loss': 2.5769197940826416}",23.49659993591922,28.41799987400009
35,"{'policy_loss': 0.06794870644807816, 'value_loss': 2.659459352493286, 'entropy_loss': -0.030185000970959663, 'total_loss': 2.69722318649292}",37.63899970542843,18.728599956812104
36,"{'policy_loss': 0.19872765243053436, 'value_loss': 2.8063371181488037, 'entropy_loss': -0.030097948387265205, 'total_loss': 2.9749667644500732}",45.912199757120106,71.03269948958041
37,"{'policy_loss': 0.13221552968025208, 'value_loss': 1.6700375080108643, 'entropy_loss': -0.030090169981122017, 'total_loss': 1.7721627950668335}",-2.3429999667496304,-0.45799997374706436
38,"{'policy_loss': 0.05183755233883858, 'value_loss': 2.050670623779297, 'entropy_loss': -0.030177408829331398, 'total_loss': 2.0723307132720947}",3.7178000169733423,9.230999945481017
39,"{'policy_loss': 0.13402101397514343, 'value_loss': 2.0345826148986816, 'entropy_loss': -0.030109819024801254, 'total_loss': 2.138493776321411}",-0.4039999740489293,0.9370000211129081
40,"{'policy_loss': -0.02285599708557129, 'value_loss': 1.867696762084961, 'entropy_loss': -0.0301260557025671, 'total_loss': 1.8147146701812744}",-5.499999955034582,-5.122999956329295
41,"{'policy_loss': -0.0060422951355576515, 'value_loss': 1.94141685962677, 'entropy_loss': -0.030208835378289223, 'total_loss': 1.9051657915115356}",4.803300005325582,7.837999950672383
42,"{'policy_loss': 0.029818274080753326, 'value_loss': 2.400547504425049, 'entropy_loss': -0.03007095493376255, 'total_loss': 2.400294780731201}",7.849999995276448,5.352000004611909
43,"{'policy_loss': 0.0862763524055481, 'value_loss': 7.558391094207764, 'entropy_loss': -0.030261652544140816, 'total_loss': 7.614406108856201}",24.445599887389108,24.881699885663693
44,"{'policy_loss': 0.009299427270889282, 'value_loss': 2.471243381500244, 'entropy_loss': -0.030012445524334908, 'total_loss': 2.450530529022217}",21.131999901117524,12.569499976554653
45,"{'policy_loss': 0.05455078184604645, 'value_loss': 2.6561856269836426, 'entropy_loss': -0.03028261661529541, 'total_loss': 2.6804537773132324}",49.62899966087571,23.611999932043545
46,"{'policy_loss': 0.059908896684646606, 'value_loss': 3.1826744079589844, 'entropy_loss': -0.03003176860511303, 'total_loss': 3.2125515937805176}",29.91299986840022,28.00529991905205
47,"{'policy_loss': -0.020352181047201157, 'value_loss': 7.739304542541504, 'entropy_loss': -0.030213067308068275, 'total_loss': 7.68873929977417}",73.20719943446602,59.714199615540565
48,"{'policy_loss': 0.08551697432994843, 'value_loss': 2.280576705932617, 'entropy_loss': -0.030027206987142563, 'total_loss': 2.336066484451294}",23.847999890858773,16.14879996317177
49,"{'policy_loss': 0.01169000193476677, 'value_loss': 2.5269298553466797, 'entropy_loss': -0.030155258253216743, 'total_loss': 2.5084645748138428}",37.627999794931384,27.480999920102477
